,data_source,embedding_model,metric_name,metric,between_all_nodes,between_shared_tags
0,interview_prep,minilm,cosine,mean,0.36982095,0.41395834
1,interview_prep,minilm,cosine,median,0.34954962,0.4315309
2,interview_prep,minilm,cosine,std_dev,0.13944294,0.14063004
3,interview_prep,minilm,soft_cosine,mean,0.7115,0.75544846
4,interview_prep,minilm,soft_cosine,median,0.7273714,0.78448534
5,interview_prep,minilm,soft_cosine,std_dev,0.1348893,0.13145934
6,interview_prep,minilm,euclidean,mean,0.53772134,0.5619803
7,interview_prep,minilm,euclidean,median,0.52181077,0.56640553
8,interview_prep,minilm,euclidean,std_dev,0.07563893,0.07759893
0,interview_prep,mpnet,cosine,mean,0.41426584,0.4514033
1,interview_prep,mpnet,cosine,median,0.41685885,0.47401258
2,interview_prep,mpnet,cosine,std_dev,0.14772664,0.1430209
3,interview_prep,mpnet,soft_cosine,mean,0.75590867,0.7894375
4,interview_prep,mpnet,soft_cosine,median,0.7844641,0.8292277
5,interview_prep,mpnet,soft_cosine,std_dev,0.14159098,0.12807742
6,interview_prep,mpnet,euclidean,mean,0.56274754,0.5836119
7,interview_prep,mpnet,euclidean,median,0.5581424,0.5909879
8,interview_prep,mpnet,euclidean,std_dev,0.08214381,0.08178374
0,interview_prep,nomic,cosine,mean,0.6302933,0.6485329
1,interview_prep,nomic,cosine,median,0.6282358,0.6400275
2,interview_prep,nomic,cosine,std_dev,0.06900668,0.06927024
3,interview_prep,nomic,soft_cosine,mean,0.9314225,0.93850034
4,interview_prep,nomic,soft_cosine,median,0.93208414,0.94024223
5,interview_prep,nomic,soft_cosine,std_dev,0.0256031,0.026330799
6,interview_prep,nomic,euclidean,mean,0.69258964,0.70533174
7,interview_prep,nomic,euclidean,median,0.6895169,0.6976959
8,interview_prep,nomic,euclidean,std_dev,0.048087012,0.048320822
0,interview_prep,bert,cosine,mean,0.8432821,0.8621917
1,interview_prep,bert,cosine,median,0.8584553,0.8870325
2,interview_prep,bert,cosine,std_dev,0.07458835,0.078714974
3,interview_prep,bert,soft_cosine,mean,0.9774278,0.9815774
4,interview_prep,bert,soft_cosine,median,0.9845636,0.992078
5,interview_prep,bert,soft_cosine,std_dev,0.019530639,0.020258307
6,interview_prep,bert,euclidean,mean,0.85728127,0.87388945
7,interview_prep,bert,euclidean,median,0.8680162,0.89318204
8,interview_prep,bert,euclidean,std_dev,0.062182132,0.065834545
0,interview_prep,specter,cosine,mean,0.8361354,0.84573096
1,interview_prep,specter,cosine,median,0.8428711,0.85654235
2,interview_prep,specter,cosine,std_dev,0.052587193,0.05870813
3,interview_prep,specter,soft_cosine,mean,0.97907984,0.9809572
4,interview_prep,specter,soft_cosine,median,0.98060405,0.9846947
5,interview_prep,specter,soft_cosine,std_dev,0.01217769,0.013051641
6,interview_prep,specter,euclidean,mean,0.850018,0.8585022
7,interview_prep,specter,euclidean,median,0.8545939,0.86635756
8,interview_prep,specter,euclidean,std_dev,0.043974202,0.049547847
0,interview_prep,word2vec,cosine,mean,0.9946879,0.9951837
1,interview_prep,word2vec,cosine,median,0.99637705,0.99711037
2,interview_prep,word2vec,cosine,std_dev,0.0044737714,0.0042789355
3,interview_prep,word2vec,soft_cosine,mean,0.9999276,0.9999375
4,interview_prep,word2vec,soft_cosine,median,0.9999679,0.99997485
5,interview_prep,word2vec,soft_cosine,std_dev,9.517289e-05,8.276691e-05
6,interview_prep,word2vec,euclidean,mean,0.9838582,0.9854268
7,interview_prep,word2vec,euclidean,median,0.9890186,0.9912719
8,interview_prep,word2vec,euclidean,std_dev,0.013739181,0.013059483
